>> stlExercise
# examples in unlabeled set: 29404
# examples in supervised training set: 15298

# examples in supervised testing set: 15298


ans =

      314584           1

 Iteration   FunEvals     Step Length    Function Val        Opt Cond
         1          5     3.14042e-02     1.10341e+02     8.61013e+03
         2          6     1.00000e+00     9.12989e+01     4.39505e+03
         3          7     1.00000e+00     8.37458e+01     1.99297e+03
         4          8     1.00000e+00     7.94371e+01     2.03601e+03
         5          9     1.00000e+00     7.11963e+01     2.72119e+03
         6         10     1.00000e+00     5.43699e+01     2.97556e+03
         7         11     1.00000e+00     3.28538e+01     8.71657e+02
         8         12     1.00000e+00     3.04618e+01     6.57602e+02
         9         13     1.00000e+00     2.96826e+01     5.91401e+02
        10         14     1.00000e+00     2.88646e+01     3.81858e+02
        11         15     1.00000e+00     2.84462e+01     2.61841e+02
        12         16     1.00000e+00     2.82696e+01     1.99413e+02
        13         17     1.00000e+00     2.82167e+01     1.60987e+02
        14         18     1.00000e+00     2.79783e+01     2.63226e+02
        15         19     1.00000e+00     2.77569e+01     3.69629e+02
        16         20     1.00000e+00     2.72558e+01     4.89107e+02
        17         22     5.02334e-01     2.70721e+01     5.00636e+02
        18         23     1.00000e+00     2.67109e+01     3.60841e+02
        19         24     1.00000e+00     2.64206e+01     2.14139e+02
        20         25     1.00000e+00     2.62698e+01     3.07065e+02
        21         26     1.00000e+00     2.59598e+01     3.85627e+02
        22         27     1.00000e+00     2.52275e+01     4.51526e+02
        23         28     1.00000e+00     2.43749e+01     3.73215e+02
        24         29     1.00000e+00     2.35136e+01     2.41608e+02
        25         30     1.00000e+00     2.32759e+01     3.79226e+02
        26         31     1.00000e+00     2.30305e+01     2.74765e+02
        27         32     1.00000e+00     2.26865e+01     2.32425e+02
        28         33     1.00000e+00     2.21389e+01     3.17772e+02
        29         34     1.00000e+00     2.14929e+01     4.22317e+02
        30         35     1.00000e+00     2.11107e+01     3.58252e+02
        31         36     1.00000e+00     2.08536e+01     2.80038e+02
        32         37     1.00000e+00     2.05790e+01     2.22458e+02
        33         38     1.00000e+00     2.04410e+01     1.95838e+02
        34         39     1.00000e+00     2.02936e+01     2.03735e+02
        35         40     1.00000e+00     2.01253e+01     2.27127e+02
        36         41     1.00000e+00     1.98281e+01     2.96978e+02
        37         42     1.00000e+00     1.94294e+01     3.36309e+02
        38         43     1.00000e+00     1.89400e+01     3.04432e+02
        39         44     1.00000e+00     1.84919e+01     2.22729e+02
        40         45     1.00000e+00     1.82180e+01     1.76245e+02
        41         46     1.00000e+00     1.81078e+01     1.66400e+02
        42         47     1.00000e+00     1.79966e+01     1.46572e+02
        43         48     1.00000e+00     1.78797e+01     1.46461e+02
        44         49     1.00000e+00     1.77082e+01     1.43363e+02
        45         50     1.00000e+00     1.74910e+01     1.57014e+02
        46         51     1.00000e+00     1.72193e+01     1.81094e+02
        47         52     1.00000e+00     1.69742e+01     1.69319e+02
        48         53     1.00000e+00     1.67789e+01     1.33028e+02
        49         54     1.00000e+00     1.66459e+01     1.24879e+02
        50         55     1.00000e+00     1.65761e+01     1.21972e+02
        51         56     1.00000e+00     1.65093e+01     1.05639e+02
        52         57     1.00000e+00     1.64063e+01     1.15165e+02
        53         58     1.00000e+00     1.62587e+01     1.41089e+02
        54         59     1.00000e+00     1.60742e+01     2.17258e+02
        55         60     1.00000e+00     1.58756e+01     1.68206e+02
        56         61     1.00000e+00     1.57444e+01     1.22832e+02
        57         62     1.00000e+00     1.56732e+01     1.09241e+02
        58         63     1.00000e+00     1.56202e+01     1.01090e+02
        59         64     1.00000e+00     1.55363e+01     1.17570e+02
        60         65     1.00000e+00     1.54366e+01     1.34043e+02
        61         66     1.00000e+00     1.53514e+01     1.68456e+02
        62         67     1.00000e+00     1.52344e+01     1.06437e+02
        63         68     1.00000e+00     1.51154e+01     8.61998e+01
        64         69     1.00000e+00     1.50161e+01     1.06411e+02
        65         70     1.00000e+00     1.49539e+01     1.44880e+02
        66         71     1.00000e+00     1.48819e+01     8.98056e+01
        67         72     1.00000e+00     1.48508e+01     6.98308e+01
        68         73     1.00000e+00     1.48142e+01     8.30323e+01
        69         74     1.00000e+00     1.47617e+01     1.07808e+02
        70         75     1.00000e+00     1.46722e+01     1.26394e+02
        71         76     1.00000e+00     1.45763e+01     1.37237e+02
        72         77     1.00000e+00     1.44757e+01     9.98838e+01
        73         78     1.00000e+00     1.43976e+01     9.25156e+01
        74         79     1.00000e+00     1.43614e+01     8.55230e+01
        75         80     1.00000e+00     1.42941e+01     8.41898e+01
        76         81     1.00000e+00     1.42384e+01     9.88675e+01
        77         82     1.00000e+00     1.41867e+01     8.34236e+01
        78         83     1.00000e+00     1.41420e+01     6.97416e+01
        79         84     1.00000e+00     1.41132e+01     6.84806e+01
        80         85     1.00000e+00     1.40784e+01     7.45557e+01
        81         86     1.00000e+00     1.39975e+01     9.86632e+01
        82         87     1.00000e+00     1.39407e+01     1.25452e+02
        83         88     1.00000e+00     1.38781e+01     8.06462e+01
        84         89     1.00000e+00     1.38465e+01     5.65561e+01
        85         90     1.00000e+00     1.38307e+01     5.82359e+01
        86         91     1.00000e+00     1.37999e+01     7.52307e+01
        87         92     1.00000e+00     1.37367e+01     9.08487e+01
        88         93     1.00000e+00     1.37001e+01     1.10073e+02
        89         94     1.00000e+00     1.36524e+01     6.03069e+01
        90         95     1.00000e+00     1.36243e+01     5.17914e+01
        91         96     1.00000e+00     1.36014e+01     6.57208e+01
        92         97     1.00000e+00     1.35617e+01     7.54081e+01
        93         98     1.00000e+00     1.35388e+01     1.00344e+02
        94         99     1.00000e+00     1.35034e+01     5.14088e+01
        95        100     1.00000e+00     1.34887e+01     4.20061e+01
        96        101     1.00000e+00     1.34728e+01     5.84062e+01
        97        102     1.00000e+00     1.34449e+01     7.71437e+01
        98        103     1.00000e+00     1.33968e+01     8.74721e+01
        99        104     1.00000e+00     1.33606e+01     1.02011e+02
       100        105     1.00000e+00     1.33258e+01     5.54234e+01
       101        106     1.00000e+00     1.33132e+01     3.99620e+01
       102        107     1.00000e+00     1.33044e+01     4.39407e+01
       103        108     1.00000e+00     1.32851e+01     5.95244e+01
       104        109     1.00000e+00     1.32454e+01     8.19535e+01
       105        110     1.00000e+00     1.32033e+01     9.69065e+01
       106        111     1.00000e+00     1.31692e+01     7.13987e+01
       107        112     1.00000e+00     1.31541e+01     4.47088e+01
       108        113     1.00000e+00     1.31449e+01     4.58256e+01
       109        114     1.00000e+00     1.31383e+01     3.98819e+01
       110        115     1.00000e+00     1.31258e+01     4.44203e+01
       111        116     1.00000e+00     1.30944e+01     6.39307e+01
       112        117     1.00000e+00     1.30624e+01     7.42350e+01
       113        118     1.00000e+00     1.30437e+01     7.36389e+01
       114        119     1.00000e+00     1.30273e+01     4.94823e+01
       115        120     1.00000e+00     1.30192e+01     4.59821e+01
       116        121     1.00000e+00     1.30116e+01     3.17538e+01
       117        122     1.00000e+00     1.30059e+01     3.85655e+01
       118        123     1.00000e+00     1.29923e+01     4.61346e+01
       119        124     1.00000e+00     1.29570e+01     5.40596e+01
       120        125     1.00000e+00     1.29362e+01     9.60748e+01
       121        126     1.00000e+00     1.29015e+01     4.00885e+01
       122        127     1.00000e+00     1.28964e+01     2.93623e+01
       123        128     1.00000e+00     1.28898e+01     2.98930e+01
       124        129     1.00000e+00     1.28715e+01     4.44679e+01
       125        130     1.00000e+00     1.28465e+01     5.29864e+01
       126        131     1.00000e+00     1.28347e+01     9.17730e+01
       127        132     1.00000e+00     1.28064e+01     4.17604e+01
       128        133     1.00000e+00     1.27967e+01     3.22279e+01
       129        134     1.00000e+00     1.27879e+01     3.82364e+01
       130        135     1.00000e+00     1.27763e+01     4.28060e+01
       131        136     1.00000e+00     1.27588e+01     4.98877e+01
       132        137     1.00000e+00     1.27460e+01     5.48975e+01
       133        138     1.00000e+00     1.27314e+01     3.48862e+01
       134        139     1.00000e+00     1.27206e+01     3.59743e+01
       135        140     1.00000e+00     1.27111e+01     4.06162e+01
       136        141     1.00000e+00     1.26927e+01     4.99868e+01
       137        142     1.00000e+00     1.26747e+01     5.43592e+01
       138        143     1.00000e+00     1.26570e+01     4.05745e+01
       139        144     1.00000e+00     1.26381e+01     3.69301e+01
       140        145     1.00000e+00     1.26299e+01     3.77502e+01
       141        146     1.00000e+00     1.26179e+01     3.24072e+01
       142        147     1.00000e+00     1.26070e+01     3.91486e+01
       143        148     1.00000e+00     1.25932e+01     4.00840e+01
       144        149     1.00000e+00     1.25749e+01     4.43401e+01
       145        150     1.00000e+00     1.25653e+01     6.19367e+01
       146        151     1.00000e+00     1.25491e+01     2.99459e+01
       147        152     1.00000e+00     1.25417e+01     2.73748e+01
       148        153     1.00000e+00     1.25339e+01     3.18124e+01
       149        154     1.00000e+00     1.25232e+01     4.00874e+01
       150        155     1.00000e+00     1.25082e+01     3.38833e+01
       151        156     1.00000e+00     1.24931e+01     3.08938e+01
       152        157     1.00000e+00     1.24728e+01     4.46819e+01
       153        158     1.00000e+00     1.24629e+01     4.69697e+01
       154        159     1.00000e+00     1.24516e+01     3.64603e+01
       155        160     1.00000e+00     1.24394e+01     3.02934e+01
       156        161     1.00000e+00     1.24331e+01     3.32185e+01
       157        162     1.00000e+00     1.24239e+01     3.58997e+01
       158        163     1.00000e+00     1.24144e+01     5.01327e+01
       159        164     1.00000e+00     1.24015e+01     3.15039e+01
