 maxIter=30:
=================
>> clear
>> stackedAEExercise
 Iteration   FunEvals     Step Length    Function Val        Opt Cond
         1          5     3.20925e-02     1.14172e+02     9.21920e+03
         2          6     1.00000e+00     9.19765e+01     4.61647e+03
         3          7     1.00000e+00     8.34875e+01     2.12060e+03
         4          8     1.00000e+00     7.87519e+01     1.98655e+03
         5          9     1.00000e+00     7.05091e+01     2.60824e+03
         6         10     1.00000e+00     5.39670e+01     2.75405e+03
         7         11     1.00000e+00     3.40477e+01     5.51108e+02
         8         12     1.00000e+00     3.23951e+01     7.87562e+02
         9         13     1.00000e+00     3.13287e+01     6.08588e+02
        10         14     1.00000e+00     3.03453e+01     3.55929e+02
        11         15     1.00000e+00     2.97961e+01     2.07076e+02
        12         16     1.00000e+00     2.96138e+01     2.47157e+02
        13         17     1.00000e+00     2.95197e+01     1.63830e+02
        14         18     1.00000e+00     2.93536e+01     2.08904e+02
        15         19     1.00000e+00     2.91415e+01     3.27313e+02
        16         20     1.00000e+00     2.86598e+01     4.70701e+02
        17         21     1.00000e+00     2.82248e+01     4.45110e+02
        18         23     4.06441e-01     2.80258e+01     3.87509e+02
        19         24     1.00000e+00     2.77634e+01     1.93002e+02
        20         25     1.00000e+00     2.75871e+01     2.81452e+02
        21         26     1.00000e+00     2.73916e+01     3.69836e+02
        22         27     1.00000e+00     2.68076e+01     4.73314e+02
        23         28     1.00000e+00     2.63370e+01     6.25724e+02
        24         29     1.00000e+00     2.54148e+01     3.55772e+02
        25         30     1.00000e+00     2.49276e+01     2.14771e+02
        26         31     1.00000e+00     2.46298e+01     2.48465e+02
        27         32     1.00000e+00     2.43604e+01     2.78596e+02
        28         33     1.00000e+00     2.38394e+01     3.12692e+02
        29         34     1.00000e+00     2.30623e+01     4.08541e+02
        30         35     1.00000e+00     2.22658e+01     3.21615e+02
Exceeded Maximum Number of Iterations
 Iteration   FunEvals     Step Length    Function Val        Opt Cond
         1          5     1.37206e-01     1.25435e+02     4.42957e+03
         2          6     1.00000e+00     2.79808e+01     1.37705e+03
         3          7     1.00000e+00     1.44633e+01     6.61159e+02
         4          8     1.00000e+00     8.88598e+00     2.40739e+02
         5          9     1.00000e+00     6.58064e+00     1.50452e+02
         6         10     1.00000e+00     4.92804e+00     6.90512e+01
         7         11     1.00000e+00     4.28942e+00     3.64238e+01
         8         13     3.02713e-01     4.15770e+00     3.98435e+01
         9         14     1.00000e+00     3.99707e+00     1.94350e+01
        10         15     1.00000e+00     3.93374e+00     1.81274e+01
        11         16     1.00000e+00     3.90445e+00     3.95851e+01
        12         17     1.00000e+00     3.82964e+00     2.43821e+01
